uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
AC,Acrelândia,69945-000,69949-999,Não codificada por logradouros,Total do município
AC,Assis Brasil,69935-000,69939-999,Não codificada por logradouros,Total do município
AC,Brasiléia,69932-000,69933-999,Não codificada por logradouros,Total do município
AC,Bujari,69926-000,69926-999,Em codificação por logradouros,Total do município
AC,Bujari,69926-001,69926-999,Em codificação por logradouros,Exclusiva da sede urbana
AC,Capixaba,69931-000,69931-999,Em codificação por logradouros,Total do município
AC,Capixaba,69931-001,69931-999,Em codificação por logradouros,Exclusiva da sede urbana
AC,Cruzeiro do Sul,69980-000,69981-999,Não codificada por logradouros,Total do município
AC,Epitaciolândia,69934-000,69934-999,Não codificada por logradouros,Total do município
AC,Feijó,69960-000,69969-999,Não codificada por logradouros,Total do município
AC,Jordão,69975-000,69979-999,Não codificada por logradouros,Total do município
AC,Mâncio Lima,69990-000,69999-999,Não codificada por logradouros,Total do município
AC,Manoel Urbano,69950-000,69954-999,Não codificada por logradouros,Total do município
AC,Marechal Thaumaturgo,69983-000,69984-999,Não codificada por logradouros,Total do município
AC,Plácido de Castro,69928-000,69929-999,Não codificada por logradouros,Total do município
AC,Porto Acre,69927-000,69927-999,Em codificação por logradouros,Total do município
AC,Porto Acre,69927-001,69927-999,Em codificação por logradouros,Exclusiva da sede urbana
AC,Porto Walter,69982-000,69982-999,Não codificada por logradouros,Total do município
AC,Rio Branco,69900-000,69924-999,Codificado por logradouros,Total do município
AC,Rio Branco,69900-001,69923-999,Codificada por logradouros,Exclusiva da sede urbana
AC,Rodrigues Alves,69985-000,69989-999,Não codificada por logradouros,Total do município
AC,Santa Rosa do Purus,69955-000,69959-999,Não codificada por logradouros,Total do município
AC,Sena Madureira,69940-000,69944-999,Não codificada por logradouros,Total do município
AC,Senador Guiomard,69925-000,69925-999,Não codificada por logradouros,Total do município
AC,Tarauacá,69970-000,69974-999,Não codificada por logradouros,Total do município
AC,Xapuri,69930-000,69930-999,Não codificada por logradouros,Total do município
AL,Água Branca,57490-000,57499-999,Não codificada por logradouros,Total do município
AL,Anadia,57660-000,57669-999,Não codificada por logradouros,Total do município
AL,Arapiraca,57300-000,57319-999,Codificado por logradouros,Total do município
AL,Arapiraca,57300-001,57317-999,Codificada por logradouros,Exclusiva da sede urbana
AL,Atalaia,57690-000,57699-999,Não codificada por logradouros,Total do município
AL,Barra de Santo Antônio,57925-000,57929-999,Não codificada por logradouros,Total do município
AL,Barra de São Miguel,57180-000,57199-999,Não codificada por logradouros,Total do município
AL,Batalha,57420-000,57424-999,Codificado por logradouros,Total do município
AL,Batalha,57420-001,57423-999,Codificada por logradouros,Exclusiva da sede urbana
AL,Belém,57630-000,57634-999,Não codificada por logradouros,Total do município
AL,Belo Monte,57435-000,57439-999,Não codificada por logradouros,Total do município
AL,Boca da Mata,57680-000,57689-999,Não codificada por logradouros,Total do município
AL,Branquinha,57830-000,57839-999,Não codificada por logradouros,Total do município
AL,Cacimbinhas,57570-000,57579-999,Não codificada por logradouros,Total do município
AL,Cajueiro,57770-000,57779-999,Não codificada por logradouros,Total do município
AL,Campestre,57968-000,57969-999,Não codificada por logradouros,Total do município
AL,Campo Alegre,57250-000,57254-999,Codificado por logradouros,Total do município
AL,Campo Alegre,57250-001,57254-999,Codificada por logradouros,Exclusiva da sede urbana
AL,Campo Grande,57350-000,57359-999,Não codificada por logradouros,Total do município
AL,Canapi,57530-000,57534-999,Não codificada por logradouros,Total do município
AL,Capela,57780-000,57799-999,Não codificada por logradouros,Total do município
AL,Carneiros,57535-000,57539-999,Não codificada por logradouros,Total do município
AL,Chã Preta,57760-000,57769-999,Não codificada por logradouros,Total do município
