uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
RJ,Angra dos Reis,23900-001,23969-999,Codificado por logradouros,Total do município
RJ,Angra dos Reis,23900-001,23959-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Angra dos Reis,23968-001,23968-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Aperibé,28495-000,28499-999,Codificado por logradouros,Total do município
RJ,Aperibé,28495-001,28499-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Araruama,28970-001,28989-999,Codificado por logradouros,Total do município
RJ,Araruama,28970-001,28989-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Areal,25845-000,25849-999,Codificado por logradouros,Total do município
RJ,Areal,25845-001,25849-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Armação dos Búzios,28950-001,28959-999,Codificado por logradouros,Total do município
RJ,Armação dos Búzios,28950-001,28959-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Arraial do Cabo,28930-000,28939-999,Não codificada por logradouros,Total do município
RJ,Barra do Piraí,27000-001,27174-999,Codificado por logradouros,Total do município
RJ,Barra do Piraí,27000-001,27154-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Barra do Piraí,27155-001,27159-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Barra do Piraí,27160-001,27162-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Barra do Piraí,27163-001,27164-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Barra do Piraí,27165-001,27169-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Barra do Piraí,27170-001,27174-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Barra Mansa,27300-001,27399-999,Codificado por logradouros,Total do município
RJ,Barra Mansa,27300-001,27399-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Belford Roxo,26100-001,26199-999,Codificado por logradouros,Total do município
RJ,Belford Roxo,26100-001,26199-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Bom Jardim,28660-000,28679-999,Não codificada por logradouros,Total do município
RJ,Bom Jesus do Itabapoana,28360-000,28374-999,Não codificada por logradouros,Total do município
RJ,Cabo Frio,28900-001,28929-999,Codificado por logradouros,Total do município
RJ,Cabo Frio,28900-001,28929-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cachoeiras de Macacu,28680-000,28699-999,Codificado por logradouros,Total do município
RJ,Cachoeiras de Macacu,28680-001,28684-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cachoeiras de Macacu,28685-001,28694-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cachoeiras de Macacu,28695-001,28699-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cambuci,28430-000,28454-999,Codificado por logradouros,Total do município
RJ,Cambuci,28430-001,28430-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cambuci,28435-001,28435-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cambuci,28440-001,28440-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cambuci,28445-001,28445-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cambuci,28446-001,28446-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cambuci,28450-001,28451-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Campos dos Goytacazes,28000-001,28179-999,Codificado por logradouros,Total do município
RJ,Campos dos Goytacazes,28000-001,28099-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Cantagalo,28500-000,28539-999,Não codificada por logradouros,Total do município
RJ,Carapebus,27998-000,27999-999,Não codificada por logradouros,Total do município
RJ,Cardoso Moreira,28180-000,28199-999,Não codificada por logradouros,Total do município
RJ,Carmo,28640-000,28649-999,Não codificada por logradouros,Total do município
RJ,Casimiro de Abreu,28860-000,28889-999,Não codificada por logradouros,Total do município
RJ,Comendador Levy Gasparian,25870-000,25879-999,Codificado por logradouros,Total do município
RJ,Comendador Levy Gasparian,25870-001,25874-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Comendador Levy Gasparian,25875-001,25876-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Conceição de Macabu,28740-000,28749-999,Não codificada por logradouros,Total do município
RJ,Cordeiro,28540-000,28544-999,Não codificada por logradouros,Total do município
RJ,Duas Barras,28650-000,28659-999,Não codificada por logradouros,Total do município
RJ,Duque de Caxias,25000-001,25499-999,Codificado por logradouros,Total do município
RJ,Duque de Caxias,25000-001,25499-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Engenheiro Paulo de Frontin,26650-000,26699-999,Não codificada por logradouros,Total do município
RJ,Guapimirim,25940-001,25949-999,Codificado por logradouros,Total do município
RJ,Guapimirim,25940-001,25949-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Iguaba Grande,28960-000,28969-999,Codificado por logradouros,Total do município
RJ,Iguaba Grande,28960-001,28969-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Itaboraí,24800-001,24889-999,Codificado por logradouros,Total do município
RJ,Itaboraí,24800-001,24889-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Itaguaí,23800-001,23859-999,Codificado por logradouros,Total do município
RJ,Itaguaí,23800-001,23859-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Italva,28250-000,28299-999,Não codificada por logradouros,Total do município
RJ,Itaocara,28570-000,28599-999,Não codificada por logradouros,Total do município
RJ,Itaperuna,28300-000,28349-999,Não codificada por logradouros,Total do município
RJ,Itatiaia,27580-000,27599-999,Codificado por logradouros,Total do município
RJ,Itatiaia,27580-001,27593-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Japeri,26400-001,26499-999,Codificado por logradouros,Total do município
RJ,Japeri,26400-001,26499-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Laje do Muriaé,28350-000,28359-999,Codificado por logradouros,Total do município
RJ,Laje do Muriaé,28350-001,28350-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Macaé,27900-000,27997-999,Codificado por logradouros,Total do município
RJ,Macaé,27900-001,27979-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Macaé,27980-001,27984-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Macaé,27985-001,27986-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Macaé,27987-001,27987-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Macuco,28545-000,28549-999,Em codificação por logradouros,Total do município
RJ,Macuco,28545-001,28545-999,Em codificação por logradouros,Exclusiva da sede urbana
RJ,Magé,25900-001,25939-999,Codificado por logradouros,Total do município
RJ,Magé,25900-001,25939-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Mangaratiba,23860-000,23889-999,Não codificada por logradouros,Total do município
RJ,Maricá,24900-001,24999-999,Codificado por logradouros,Total do município
RJ,Maricá,24900-001,24999-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Mendes,26700-000,26899-999,Não codificada por logradouros,Total do município
RJ,Mesquita,26550-001,26599-999,Codificado por logradouros,Total do município
RJ,Mesquita,26550-001,26599-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Miguel Pereira,26900-000,26949-999,Não codificada por logradouros,Total do município
RJ,Miracema,28460-000,28469-999,Não codificada por logradouros,Total do município
RJ,Natividade,28380-000,28389-999,Não codificada por logradouros,Total do município
RJ,Nilópolis,26500-001,26549-999,Codificado por logradouros,Total do município
RJ,Nilópolis,26500-001,26549-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Niterói,24000-000,24399-999,Codificado por logradouros,Total do município
RJ,Niterói,24000-001,24399-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Nova Friburgo,28600-001,28636-999,Codificado por logradouros,Total do município
RJ,Nova Friburgo,28600-001,28636-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Nova Iguaçu,26000-001,26099-999,Codificado por logradouros,Total do município
RJ,Nova Iguaçu,26200-000,26299-999,Codificado por logradouros,Total do município
RJ,Nova Iguaçu,26000-001,26099-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Nova Iguaçu,26200-000,26299-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Paracambi,26600-000,26649-999,Não codificada por logradouros,Total do município
RJ,Paraíba do Sul,25850-000,25869-999,Não codificada por logradouros,Total do município
RJ,Paraty,23970-000,23999-999,Não codificada por logradouros,Total do município
RJ,Paty do Alferes,26950-000,26999-999,Não codificada por logradouros,Total do município
RJ,Petrópolis,25600-001,25779-999,Codificado por logradouros,Total do município
RJ,Petrópolis,25600-001,25779-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Pinheiral,27197-000,27199-999,Codificado por logradouros,Total do município
RJ,Pinheiral,27197-001,27199-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Piraí,27175-000,27196-999,Não codificada por logradouros,Total do município
RJ,Porciúncula,28390-000,28399-999,Não codificada por logradouros,Total do município
RJ,Porto Real,27570-000,27579-999,Não codificada por logradouros,Total do município
RJ,Quatis,27400-001,27459-999,Codificado por logradouros,Total do município
RJ,Quatis,27400-001,27459-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Queimados,26300-001,26399-999,Codificado por logradouros,Total do município
RJ,Queimados,26300-001,26399-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Quissamã,28735-000,28739-999,Codificado por logradouros,Total do município
RJ,Quissamã,28735-001,28739-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Resende,27500-001,27569-999,Codificado por logradouros,Total do município
RJ,Resende,27500-001,27551-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Rio Bonito,28800-000,28819-999,Em codificação por logradouros,Total do município
RJ,Rio Bonito,28800-001,28809-999,Em codificação por logradouros,Exclusiva da sede urbana
RJ,Rio Bonito,28810-001,28813-999,Em codificação por logradouros,Exclusiva da sede urbana
RJ,Rio Claro,27460-000,27499-999,Não codificada por logradouros,Total do município
RJ,Rio das Flores,27660-000,27699-999,Codificado por logradouros,Total do município
RJ,Rio das Flores,27660-001,27664-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Rio das Flores,27665-001,27669-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Rio das Flores,27670-001,27689-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Rio das Flores,27690-001,27691-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Rio das Ostras,28890-001,28899-999,Codificado por logradouros,Total do município
RJ,Rio das Ostras,28890-001,28899-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Rio de Janeiro,20000-001,23799-999,Codificado por logradouros,Total do município
RJ,Rio de Janeiro,20000-001,23799-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,Santa Maria Madalena,28770-000,28799-999,Não codificada por logradouros,Total do município
RJ,Santo Antônio de Pádua,28470-000,28494-999,Não codificada por logradouros,Total do município
RJ,São Fidélis,28400-000,28429-999,Não codificada por logradouros,Total do município
RJ,São Francisco de Itabapoana,28230-000,28249-999,Não codificada por logradouros,Total do município
RJ,São Gonçalo,24400-001,24799-999,Codificado por logradouros,Total do município
RJ,São Gonçalo,24400-001,24799-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,São João da Barra,28200-000,28229-999,Não codificada por logradouros,Total do município
RJ,São João de Meriti,25500-001,25599-999,Codificado por logradouros,Total do município
RJ,São João de Meriti,25500-001,25599-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,São José de Ubá,28455-000,28459-999,Codificado por logradouros,Total do município
RJ,São José de Ubá,28455-001,28455-999,Codificada por logradouros,Exclusiva da sede urbana
RJ,São José do Vale do Rio Preto,25780-000,25799-999,Não codificada por logradouros,Total do município
RJ,São Pedro da Aldeia,28940-001,28949-999,Codificado por logradouros,Total do município
