"COD_MUNICIPIO","cep.min","cep.max"
1200013,69945000,69949999
1200054,69935000,69939999
1200104,69932000,69933999
1200138,69926000,69926999
1200138,69926001,69926999
1200179,69931000,69931999
1200179,69931001,69931999
1200203,69980000,69981999
1200252,69934000,69934999
1200302,69960000,69969999
1200328,69975000,69979999
1200336,69990000,69999999
1200344,69950000,69954999
1200351,69983000,69984999
1200385,69928000,69929999
1200807,69927000,69927999
1200807,69927001,69927999
1200393,69982000,69982999
1200401,69900000,69924999
1200401,69900001,69923999
1200427,69985000,69989999
1200435,69955000,69959999
1200500,69940000,69944999
1200450,69925000,69925999
1200609,69970000,69974999
1200708,69930000,69930999
2700102,57490000,57499999
2700201,57660000,57669999
2700300,57300000,57319999
2700300,57300001,57317999
2700409,57690000,57699999
2700508,57925000,57929999
2700607,57180000,57199999
2700706,57420000,57424999
2700706,57420001,57423999
2700805,57630000,57634999
2700904,57435000,57439999
2701001,57680000,57689999
2701100,57830000,57839999
2701209,57570000,57579999
2701308,57770000,57779999
2701357,57968000,57969999
2701407,57250000,57254999
2701407,57250001,57254999
2701506,57350000,57359999
2701605,57530000,57534999
2701704,57780000,57799999
2701803,57535000,57539999
2701902,57760000,57769999
2702009,57325000,57329999
2702108,57975000,57979999
2702207,57140000,57149999
2702306,57230000,57239999
2702355,57320000,57324999
2702405,57480000,57489999
2702504,57560000,57569999
2702553,57625000,57629999
2702553,57625001,57627999
2702603,57340000,57349999
2702702,57220000,57229999
2702801,57995000,57999999
2702900,57360000,57369999
2703007,57890000,57899999
2703106,57620000,57624999
2703205,57280000,57289999
2703304,57545000,57549999
2703403,57430000,57434999
2703502,57960000,57964999
2703601,57950000,57954999
2703700,57425000,57429999
2703759,57255000,57256999
2703809,57980000,57989999
2703908,57965000,57967999
2704005,57270000,57274999
2704005,57270001,57271999
2704005,57272001,57272399
2704104,57330000,57339999
2704203,57260000,57264999
2704203,57260001,57263999
2704302,57000000,57099999
2704302,57000001,57099999
2704401,57580000,57599999
2704906,57730000,57739999
2704500,57955000,57959999
2704609,57520000,57524999
2704708,57160000,57179999
2704807,57670000,57679999
2705002,57540000,57544999
2705101,57910000,57919999
2705200,57990000,57994999
2705309,57615000,57619999
2705408,57440000,57441999
2705507,57820000,57829999
2705606,57970000,57974999
2705705,57442000,57444999
2705804,57470000,57474999
2705903,57390000,57399999
2706000,57550000,57559999
2706109,57525000,57529999
2706208,57410000,57419999
2706307,57600000,57614999
2706307,57600001,57609999
2706406,57400000,57409999
2706422,57475000,57479999
2706448,57935000,57939999
2706505,57930000,57934999
2706604,57740000,57749999
2706703,57200000,57209999
2706802,57210000,57219999
2706901,57150000,57159999
2707008,57720000,57729999
2707107,57460000,57469999
2707107,57460001,57469999
2707206,57510000,57514999
2707305,57900000,57909999
2707404,57945000,57949999
2707503,57290000,57299999
2707602,57750000,57759999
2707701,57100000,57119999
2707800,57257000,57259999
2707909,57130000,57139999
2708006,57500000,57509999
2708105,57840000,57859999
2708204,57380000,57389999
2708303,57860000,57889999
2708402,57445000,57459999
2708402,57445001,57448999
2708501,57920000,57924999
2708600,57240000,57249999
2708600,57240001,57249999
2708709,57940000,57944999
2708808,57275000,57279999
2708907,57120000,57129999
2708956,57515000,57519999
2709004,57635000,57639999
2709103,57640000,57659999
2709152,57265000,57269999
2709152,57265001,57269499
2709202,57370000,57379999
2709301,57800000,57819999
2709400,57700000,57719999
1300029,69540000,69549999
1300060,69620000,69629999
1300086,69445000,69449999
1300102,69440000,69444999
1300144,69265000,69279999
1300201,69650000,69659999
1300300,69240000,69249999
1300409,69700000,69719999
1300508,69160000,69179999
1300607,69630000,69639999
1300631,69430000,69434999
1300680,69220000,69229999
1300680,69220001,69222999
1300706,69850000,69859999
1300805,69200000,69219999
1300839,69425000,69429999
1300904,69820000,69829999
1301001,69500000,69509999
1301100,69250000,69254999
1301159,69255000,69259999
1301209,69460000,69469999
1301209,69460001,69465999
1301308,69450000,69459999
1301407,69880000,69889999
1301506,69870000,69879999
1301605,69670000,69679999
1301654,69895000,69899999
1301704,69800000,69819999
1301704,69800001,69808999
1301803,69890000,69894999
1301852,69415000,69424999
1301902,69100000,69113999
1301902,69100001,69109999
1301951,69510000,69519999
1302009,69120000,69129999
1302108,69495000,69499999
1302207,69520000,69529999
1302306,69660000,69669999
1302405,69830000,69849999
1302504,69400000,69414999
1302504,69400001,69409999
1302553,69435000,69439999
1302603,69000000,69099999
1302603,69000001,69099999
1302702,69280000,69299999
1302801,69490000,69494999
1302900,69190000,69199999
1302900,69190001,69191999
1302900,69193001,69194999
1303007,69140000,69149999
1303007,69140001,69140999
1303106,69230000,69239999
1303205,69730000,69734999
1303205,69730001,69733999
1303304,69260000,69264999
1303403,69150000,69159999
1303403,69150001,69157999
1303502,69860000,69869999
1303536,69720000,69729999
1303536,69735000,69739999
1303536,69720001,69727999
1303569,69117000,69119999
1303601,69740000,69749999
1303700,69680000,69684999
1303809,69750000,69799999
1303809,69750001,69755999
1303908,69600000,69619999
1303957,69135000,69139999
1303957,69135001,69136999
1304005,69114000,69116999
1304062,69640000,69649999
1304104,69480000,69484999
1304203,69550000,69559999
1304203,69550001,69558999
1304237,69685000,69699999
1304237,69690001,69693999
1304260,69530000,69539999
1304302,69130000,69134999
1304401,69180000,69189999
1600105,68950000,68959999
1600204,68960000,68972999
1600212,68973000,68975999
1600238,68915000,68917999
1600253,68976000,68979999
1600279,68920000,68923999
